:Data_list: ace_mag_1m.txt
:Created: 2017 Apr 26 1008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2017 04 26  0915   57869   33300    0     3.1    -2.6    -0.7     4.1    -9.5   319.9
2017 04 26  0916   57869   33360    0     3.0    -2.7     0.0     4.0     0.3   317.9
2017 04 26  0917   57869   33420    0     2.9    -3.0     0.4     4.2     5.9   313.8
2017 04 26  0918   57869   33480    0     3.1    -2.6    -0.7     4.2    -9.9   320.2
2017 04 26  0919   57869   33540    0     3.2    -1.7    -2.1     4.2   -30.5   332.1
2017 04 26  0920   57869   33600    0     3.1    -2.5    -0.8     4.1   -11.5   321.7
2017 04 26  0921   57869   33660    0     2.8    -3.2     0.4     4.3     5.9   311.5
2017 04 26  0922   57869   33720    0     2.8    -3.2    -0.5     4.3    -6.5   311.0
2017 04 26  0923   57869   33780    0     2.7    -3.2    -1.2     4.4   -15.5   310.2
2017 04 26  0924   57869   33840    0     2.7    -3.4    -0.9     4.4   -12.2   309.1
2017 04 26  0925   57869   33900    0     2.7    -3.4    -1.0     4.4   -13.1   308.3
2017 04 26  0926   57869   33960    0     2.7    -3.4    -0.3     4.4    -3.8   308.3
2017 04 26  0927   57869   34020    0     2.4    -3.7    -0.4     4.4    -4.7   303.6
2017 04 26  0928   57869   34080    0     3.0    -3.2    -0.6     4.4    -7.7   312.5
2017 04 26  0929   57869   34140    0     2.9    -3.3    -0.3     4.4    -4.3   311.2
2017 04 26  0930   57869   34200    0     3.0    -3.0    -0.8     4.4   -11.2   314.9
2017 04 26  0931   57869   34260    0     3.4    -2.8    -0.2     4.4    -2.8   320.6
2017 04 26  0932   57869   34320    0     3.1    -3.1     0.1     4.4     0.8   315.0
2017 04 26  0933   57869   34380    0     3.1    -3.1     0.1     4.4     1.5   314.3
2017 04 26  0934   57869   34440    0     3.2    -3.1     0.1     4.5     0.8   316.3
2017 04 26  0935   57869   34500    0     3.3    -2.9    -0.2     4.4    -2.1   319.3
2017 04 26  0936   57869   34560    0     3.4    -2.7    -0.3     4.4    -4.1   322.1
2017 04 26  0937   57869   34620    0     3.7    -2.0    -1.1     4.3   -15.1   331.6
2017 04 26  0938   57869   34680    0     3.2    -2.8    -0.3     4.2    -4.4   318.6
2017 04 26  0939   57869   34740    0     2.7    -3.3    -0.1     4.3    -1.6   309.9
2017 04 26  0940   57869   34800    0     2.8    -3.2     0.2     4.3     2.9   311.1
2017 04 26  0941   57869   34860    0     2.5    -3.5     0.4     4.3     4.9   304.8
2017 04 26  0942   57869   34920    0     2.5    -3.5     0.5     4.3     6.8   305.2
2017 04 26  0943   57869   34980    0     2.6    -3.4     0.4     4.3     5.2   307.5
2017 04 26  0944   57869   35040    0     1.6    -4.5    -0.2     4.8    -1.8   289.0
2017 04 26  0945   57869   35100    0     1.6    -4.7     0.1     5.0     1.5   289.4
2017 04 26  0946   57869   35160    0     1.6    -4.7     0.2     5.0     1.8   288.7
2017 04 26  0947   57869   35220    0     1.1    -4.9     0.3     5.0     3.7   282.6
2017 04 26  0948   57869   35280    0     1.5    -4.7     0.2     5.0     2.5   287.1
2017 04 26  0949   57869   35340    0     1.1    -4.8     0.1     4.9     0.8   282.8
2017 04 26  0950   57869   35400    0     0.5    -4.8     1.0     5.0    11.4   275.6
2017 04 26  0951   57869   35460    0     0.9    -4.8     1.2     5.0    13.3   281.2
2017 04 26  0952   57869   35520    0     0.6    -5.0     0.6     5.1     7.2   276.6
2017 04 26  0953   57869   35580    0     0.5    -5.2     0.8     5.2     9.3   275.1
2017 04 26  0954   57869   35640    0     0.5    -5.2     0.8     5.3     9.1   275.7
2017 04 26  0955   57869   35700    0     1.0    -4.8    -0.3     5.0    -3.6   281.5
2017 04 26  0956   57869   35760    0     1.1    -4.7    -1.3     5.0   -15.1   283.4
2017 04 26  0957   57869   35820    0     1.6    -4.7     0.0     5.0     0.5   288.9
2017 04 26  0958   57869   35880    0     2.0    -4.1     1.0     4.7    12.2   296.5
2017 04 26  0959   57869   35940    0     2.7    -3.9     1.5     5.0    18.1   304.5
2017 04 26  1000   57869   36000    0     2.2    -4.3     1.4     5.1    16.4   296.6
2017 04 26  1001   57869   36060    0     2.3    -4.3     1.4     5.1    16.3   297.8
2017 04 26  1002   57869   36120    0     3.1    -3.8     1.1     5.1    12.8   309.6
2017 04 26  1003   57869   36180    0     3.6    -3.5     1.0     5.1    11.3   315.6
2017 04 26  1004   57869   36240    0     3.7    -3.5     0.8     5.1     9.0   316.7
2017 04 26  1005   57869   36300    0     3.7    -3.3     1.0     5.0    11.4   317.6
2017 04 26  1006   57869   36360    0     3.8    -3.3     1.0     5.1    11.1   319.7
